Position_ID,Supervisory_Organization,Effective_Date,Reason,Worker_Type,Worker_Sub_Type,Job_Profile,Job_Title,Business_Title,Time_Type,Location
P-000001,DEPT_OPS_059,2016-02-19,New Position,Employee,Regular,JP_0064,Private Banker,Private Banker,Full_Time,LOC_TOR_HQ
P-000002,DEPT_MKT_111,2016-02-18,New Position,Employee,Regular,JP_0065,Mortgage Specialist,Mortgage Specialist,Full_Time,LOC_DAL
P-000003,DEPT_SALES_103,2016-02-23,New Position,Employee,Regular,JP_0031,Market Risk Analyst,Market Risk Analyst,Full_Time,LOC_TOR_HQ
P-000004,DEPT_SALES_092,2016-02-16,New Position,Employee,Regular,JP_0032,Operational Risk Analyst,Operational Risk Analyst,Full_Time,LOC_DAL
P-000005,DEPT_OPS_064,2016-02-15,New Position,Employee,Regular,JP_0005,Data Scientist,Data Scientist,Full_Time,LOC_MTL
P-000006,DEPT_OPS_061,2016-02-18,New Position,Employee,Regular,JP_0026,Financial Planning Analyst,Financial Planning Analyst,Full_Time,LOC_NYC
P-000007,DEPT_TECH_016,2016-02-16,New Position,Contingent Worker,Contractor,JP_0054,Paralegal,Paralegal,Full_Time,LOC_TOR_HQ
P-000008,DEPT_RISK_051,2016-02-21,New Position,Employee,Regular,JP_0065,Mortgage Specialist,Mortgage Specialist,Full_Time,LOC_TOR_FP
P-000009,DEPT_TECH_023,2016-02-23,New Position,Employee,Regular,JP_0039,Trade Operations Analyst,Trade Operations Analyst,Full_Time,LOC_TOR_FP
P-000010,DEPT_SALES_107,2016-02-16,New Position,Employee,Regular,JP_0049,Benefits Specialist,Benefits Specialist,Full_Time,LOC_TOR_FP
P-000011,DEPT_RISK_046,2016-02-29,New Position,Employee,Regular,JP_0011,Solutions Architect,Solutions Architect,Full_Time,LOC_TOR_HQ
P-000012,DEPT_RISK_045,2016-02-14,New Position,Employee,Regular,JP_0031,Market Risk Analyst,Market Risk Analyst,Part_Time,LOC_SF
P-000013,DEPT_RISK_046,2016-02-26,New Position,Employee,Fixed Term,JP_0040,Settlement Specialist,Settlement Specialist,Full_Time,LOC_TOR_HQ
P-000014,DEPT_MKT_112,2016-02-19,New Position,Employee,Regular,JP_0036,Risk Manager,Risk Manager,Full_Time,LOC_TOR_HQ
P-000015,DEPT_INVEST_119,2016-02-27,New Position,Employee,Regular,JP_0069,Brand Manager,Brand Manager,Full_Time,LOC_TOR_HQ
P-000016,DEPT_SALES_102,2016-02-13,New Position,Employee,Regular,JP_0037,Operations Analyst,Operations Analyst,Full_Time,LOC_OTT
P-000017,DEPT_INVEST_125,2016-02-26,New Position,Employee,Regular,JP_0028,Risk Analyst,Risk Analyst,Full_Time,LOC_HAL
P-000018,DEPT_RISK_052,2016-02-24,New Position,Employee,Regular,JP_0007,DevOps Engineer,DevOps Engineer,Full_Time,LOC_WIN
P-000019,DEPT_OPS_056,2016-02-15,New Position,Employee,Regular,JP_0049,Benefits Specialist,Benefits Specialist,Full_Time,LOC_MTL
P-000020,DEPT_TECH_032,2016-02-19,New Position,Employee,Regular,JP_0018,Financial Analyst,Financial Analyst,Part_Time,LOC_US_REM
P-000021,DEPT_OPS_064,2016-02-28,New Position,Employee,Regular,JP_0052,Employee Relations Specialist,Employee Relations Specialist,Full_Time,LOC_NYC
P-000022,DEPT_RISK_052,2016-02-28,New Position,Contingent Worker,Contractor,JP_0006,Cloud Architect,Cloud Architect,Full_Time,LOC_BOS
P-000023,DEPT_TECH_040,2016-02-14,New Position,Employee,Regular,JP_0027,Accounts Payable Specialist,Accounts Payable Specialist,Full_Time,LOC_TOR_FP
P-000024,DEPT_OPS_058,2016-02-13,New Position,Employee,Regular,JP_0092,Fund Accountant,Fund Accountant,Full_Time,LOC_TOR_HQ
P-000025,DEPT_RISK_044,2016-02-17,New Position,Employee,Regular,JP_0042,Operations Manager,Operations Manager,Full_Time,LOC_TOR_FP
P-000026,DEPT_RISK_045,2016-02-23,New Position,Contingent Worker,Contractor,JP_0056,Regulatory Counsel,Regulatory Counsel,Full_Time,LOC_US_REM
P-000027,DEPT_FIN_013,2016-02-21,New Position,Employee,Regular,JP_0062,Client Relationship Manager,Client Relationship Manager,Part_Time,LOC_MTL
P-000028,DEPT_CEO_001,2016-02-29,New Position,Employee,Regular,JP_0026,Financial Planning Analyst,Financial Planning Analyst,Full_Time,LOC_TOR_FP
P-000029,DEPT_HR_083,2016-02-19,New Position,Employee,Regular,JP_0042,Operations Manager,Operations Manager,Full_Time,LOC_CHI
P-000030,DEPT_MKT_113,2016-02-14,New Position,Employee,Regular,JP_0012,Product Manager - Tech,Product Manager - Tech,Full_Time,LOC_MIA
P-000031,DEPT_CEO_002,2016-02-26,New Position,Employee,Regular,JP_0068,Marketing Analyst,Marketing Analyst,Part_Time,LOC_OTT
P-000032,DEPT_RISK_041,2016-02-23,New Position,Employee,Regular,JP_0013,Technical Project Manager,Technical Project Manager,Full_Time,LOC_US_REM
P-000033,DEPT_ADMIN_130,2016-02-20,New Position,Employee,Regular,JP_0058,Relationship Manager,Relationship Manager,Full_Time,LOC_MTL
P-000034,DEPT_RISK_049,2016-02-21,New Position,Employee,Fixed Term,JP_0008,QA Engineer,QA Engineer,Full_Time,LOC_MTL
P-000035,DEPT_SALES_104,2016-02-21,New Position,Employee,Regular,JP_0089,Research Analyst,Research Analyst,Full_Time,LOC_TOR_HQ
P-000036,DEPT_HR_081,2016-02-13,New Position,Employee,Regular,JP_0012,Product Manager - Tech,Product Manager - Tech,Full_Time,LOC_CHI
P-000037,DEPT_TECH_020,2016-02-15,New Position,Employee,Regular,JP_0047,Senior Recruiter,Senior Recruiter,Full_Time,LOC_TOR_HQ
P-000038,DEPT_FIN_015,2016-02-28,New Position,Employee,Regular,JP_0060,Investment Advisor,Investment Advisor,Full_Time,LOC_SF
P-000039,DEPT_RISK_052,2016-02-24,New Position,Employee,Regular,JP_0015,Network Engineer,Network Engineer,Full_Time,LOC_NYC
P-000040,DEPT_TECH_017,2016-02-15,New Position,Employee,Regular,JP_0047,Senior Recruiter,Senior Recruiter,Part_Time,LOC_BOS
P-000041,DEPT_LEGAL_084,2016-02-20,New Position,Employee,Regular,JP_0092,Fund Accountant,Fund Accountant,Full_Time,LOC_CHI
P-000042,DEPT_RISK_051,2016-02-13,New Position,Employee,Regular,JP_0068,Marketing Analyst,Marketing Analyst,Full_Time,LOC_MTL
P-000043,DEPT_RISK_051,2016-02-28,New Position,Employee,Regular,JP_0015,Network Engineer,Network Engineer,Full_Time,LOC_VAN
P-000044,DEPT_OPS_069,2016-02-29,New Position,Contingent Worker,Contractor,JP_0051,Learning & Development Specialist,Learning & Development Specialist,Full_Time,LOC_NYC
P-000045,DEPT_OPS_062,2016-02-28,New Position,Employee,Regular,JP_0012,Product Manager - Tech,Product Manager - Tech,Full_Time,LOC_MTL
P-000046,DEPT_OPS_075,2016-02-13,New Position,Employee,Regular,JP_0032,Operational Risk Analyst,Operational Risk Analyst,Full_Time,LOC_TOR_FP
P-000047,DEPT_ADMIN_130,2016-02-22,New Position,Employee,Regular,JP_0005,Data Scientist,Data Scientist,Full_Time,LOC_TOR_HQ
P-000048,DEPT_RISK_047,2016-02-13,New Position,Employee,Regular,JP_0030,Credit Risk Analyst,Credit Risk Analyst,Full_Time,LOC_TOR_HQ
P-000049,DEPT_TECH_030,2016-02-20,New Position,Employee,Fixed Term,JP_0015,Network Engineer,Network Engineer,Full_Time,LOC_OTT
P-000050,DEPT_RISK_043,2016-02-29,New Position,Employee,Regular,JP_0066,Insurance Advisor,Insurance Advisor,Full_Time,LOC_TOR_HQ
P-000051,DEPT_RISK_047,2016-02-24,New Position,Employee,Regular,JP_0008,QA Engineer,QA Engineer,Full_Time,LOC_CHI
P-000052,DEPT_INVEST_121,2016-02-19,New Position,Employee,Regular,JP_0091,Trader,Trader,Full_Time,LOC_HAL
P-000053,DEPT_RISK_052,2016-02-14,New Position,Employee,Regular,JP_0016,Systems Administrator,Systems Administrator,Full_Time,LOC_TOR_FP
P-000054,DEPT_TECH_031,2016-02-15,New Position,Employee,Regular,JP_0034,AML Analyst,AML Analyst,Full_Time,LOC_CA_REM
P-000055,DEPT_TECH_021,2016-02-22,New Position,Employee,Regular,JP_0040,Settlement Specialist,Settlement Specialist,Full_Time,LOC_CHI
P-000056,DEPT_TECH_028,2016-02-28,New Position,Employee,Regular,JP_0033,Compliance Analyst,Compliance Analyst,Full_Time,LOC_TOR_HQ
P-000057,DEPT_TECH_034,2016-02-17,New Position,Employee,Regular,JP_0012,Product Manager - Tech,Product Manager - Tech,Full_Time,LOC_TOR_HQ
P-000058,DEPT_TECH_016,2016-02-29,New Position,Employee,Regular,JP_0025,Audit Analyst,Audit Analyst,Full_Time,LOC_TOR_FP
P-000059,DEPT_SALES_092,2016-02-16,New Position,Contingent Worker,Contractor,JP_0040,Settlement Specialist,Settlement Specialist,Full_Time,LOC_TOR_HQ
P-000060,DEPT_TECH_031,2016-02-27,New Position,Employee,Regular,JP_0012,Product Manager - Tech,Product Manager - Tech,Full_Time,LOC_VAN
P-000061,DEPT_SALES_102,2016-02-29,New Position,Employee,Regular,JP_0036,Risk Manager,Risk Manager,Full_Time,LOC_TOR_HQ
P-000062,DEPT_SALES_092,2016-02-15,New Position,Employee,Regular,JP_0055,Legal Analyst,Legal Analyst,Full_Time,LOC_NYC
P-000063,DEPT_OPS_065,2016-02-13,New Position,Employee,Regular,JP_0047,Senior Recruiter,Senior Recruiter,Full_Time,LOC_TOR_HQ
P-000064,DEPT_OPS_061,2016-02-28,New Position,Employee,Regular,JP_0012,Product Manager - Tech,Product Manager - Tech,Full_Time,LOC_TOR_HQ
P-000065,DEPT_RISK_052,2016-02-17,New Position,Employee,Regular,JP_0036,Risk Manager,Risk Manager,Full_Time,LOC_TOR_FP
P-000066,DEPT_OPS_066,2016-02-19,New Position,Employee,Regular,JP_0047,Senior Recruiter,Senior Recruiter,Full_Time,LOC_MTL
P-000067,DEPT_MKT_113,2016-02-29,New Position,Employee,Regular,JP_0049,Benefits Specialist,Benefits Specialist,Full_Time,LOC_OTT
P-000068,DEPT_TECH_035,2016-02-22,New Position,Employee,Regular,JP_0070,Digital Marketing Specialist,Digital Marketing Specialist,Full_Time,LOC_TOR_FP
P-000069,DEPT_RISK_041,2016-02-14,New Position,Employee,Regular,JP_0026,Financial Planning Analyst,Financial Planning Analyst,Full_Time,LOC_OTT
P-000070,DEPT_OPS_065,2016-02-15,New Position,Employee,Regular,JP_0054,Paralegal,Paralegal,Part_Time,LOC_TOR_HQ
P-000071,DEPT_TECH_016,2016-02-16,New Position,Employee,Regular,JP_0025,Audit Analyst,Audit Analyst,Full_Time,LOC_TOR_HQ
P-000072,DEPT_MKT_112,2016-02-18,New Position,Employee,Regular,JP_0086,Office Manager,Office Manager,Full_Time,LOC_TOR_HQ
P-000073,DEPT_FIN_005,2016-02-25,New Position,Employee,Regular,JP_0089,Research Analyst,Research Analyst,Full_Time,LOC_TOR_HQ
P-000074,DEPT_INVEST_115,2016-02-25,New Position,Employee,Regular,JP_0093,Performance Analyst,Performance Analyst,Full_Time,LOC_CHI
P-000075,DEPT_SALES_094,2016-02-14,New Position,Employee,Regular,JP_0063,Business Development Manager,Business Development Manager,Full_Time,LOC_NYC
P-000076,DEPT_FIN_015,2016-02-21,New Position,Employee,Regular,JP_0076,Chief Risk Officer,Chief Risk Officer,Full_Time,LOC_CHI
P-000077,DEPT_FIN_010,2016-02-17,New Position,Employee,Regular,JP_0087,Portfolio Manager,Portfolio Manager,Full_Time,LOC_MTL
P-000078,DEPT_FIN_014,2016-02-22,New Position,Employee,Regular,JP_0026,Financial Planning Analyst,Financial Planning Analyst,Full_Time,LOC_TOR_FP
P-000079,DEPT_TECH_027,2016-02-23,New Position,Contingent Worker,Contractor,JP_0022,Controller,Controller,Full_Time,LOC_NYC
P-000080,DEPT_OPS_072,2016-02-14,New Position,Employee,Regular,JP_0084,Receptionist,Receptionist,Part_Time,LOC_OTT
P-000081,DEPT_TECH_035,2016-02-29,New Position,Employee,Regular,JP_0014,Database Administrator,Database Administrator,Full_Time,LOC_NYC
P-000082,DEPT_SALES_091,2016-02-17,New Position,Employee,Regular,JP_0086,Office Manager,Office Manager,Full_Time,LOC_CAL
P-000083,DEPT_INVEST_125,2016-02-18,New Position,Employee,Regular,JP_0006,Cloud Architect,Cloud Architect,Full_Time,LOC_CHI
P-000084,DEPT_LEGAL_085,2016-02-16,New Position,Employee,Regular,JP_0025,Audit Analyst,Audit Analyst,Full_Time,LOC_MTL
P-000085,DEPT_OPS_061,2016-02-25,New Position,Employee,Regular,JP_0010,Cybersecurity Analyst,Cybersecurity Analyst,Full_Time,LOC_TOR_HQ
P-000086,DEPT_TECH_022,2016-02-20,New Position,Employee,Regular,JP_0048,Compensation Analyst,Compensation Analyst,Full_Time,LOC_TOR_HQ
P-000087,DEPT_TECH_022,2016-02-17,New Position,Employee,Regular,JP_0042,Operations Manager,Operations Manager,Part_Time,LOC_CHI
P-000088,DEPT_TECH_024,2016-02-18,New Position,Employee,Regular,JP_0064,Private Banker,Private Banker,Full_Time,LOC_MIA
P-000089,DEPT_SALES_101,2016-02-19,New Position,Employee,Regular,JP_0078,Chief Human Resources Officer,Chief Human Resources Officer,Full_Time,LOC_TOR_FP
P-000090,DEPT_OPS_059,2016-02-19,New Position,Employee,Regular,JP_0018,Financial Analyst,Financial Analyst,Full_Time,LOC_TOR_HQ
P-000091,DEPT_OPS_069,2016-02-15,New Position,Employee,Regular,JP_0028,Risk Analyst,Risk Analyst,Full_Time,LOC_TOR_HQ
P-000092,DEPT_OPS_059,2016-02-17,New Position,Employee,Fixed Term,JP_0061,Sales Associate,Sales Associate,Full_Time,LOC_OTT
P-000093,DEPT_CEO_001,2016-02-20,New Position,Employee,Fixed Term,JP_0061,Sales Associate,Sales Associate,Full_Time,LOC_TOR_HQ
P-000094,DEPT_FIN_012,2016-02-24,New Position,Employee,Regular,JP_0036,Risk Manager,Risk Manager,Part_Time,LOC_TOR_HQ
P-000095,DEPT_OPS_075,2016-02-24,New Position,Employee,Regular,JP_0012,Product Manager - Tech,Product Manager - Tech,Part_Time,LOC_OTT
P-000096,DEPT_LEGAL_089,2016-02-15,New Position,Employee,Regular,JP_0029,Senior Risk Analyst,Senior Risk Analyst,Part_Time,LOC_NYC
P-000097,DEPT_TECH_038,2016-02-23,New Position,Employee,Regular,JP_0072,Content Writer,Content Writer,Full_Time,LOC_MTL
P-000098,DEPT_RISK_041,2016-02-27,New Position,Employee,Regular,JP_0005,Data Scientist,Data Scientist,Full_Time,LOC_TOR_HQ
P-000099,DEPT_TECH_039,2016-02-29,New Position,Employee,Regular,JP_0090,Quantitative Analyst,Quantitative Analyst,Full_Time,LOC_VAN
P-000100,DEPT_TECH_026,2016-02-21,New Position,Employee,Regular,JP_0053,Corporate Counsel,Corporate Counsel,Full_Time,LOC_TOR_FP
P-000101,DEPT_FIN_011,2016-02-21,New Position,Employee,Regular,JP_0061,Sales Associate,Sales Associate,Full_Time,LOC_TOR_HQ
P-000102,DEPT_RISK_041,2016-02-29,New Position,Employee,Regular,JP_0053,Corporate Counsel,Corporate Counsel,Full_Time,LOC_TOR_FP
P-000103,DEPT_RISK_043,2016-02-20,New Position,Employee,Regular,JP_0036,Risk Manager,Risk Manager,Full_Time,LOC_CA_REM
P-000104,DEPT_OPS_065,2016-02-17,New Position,Employee,Regular,JP_0028,Risk Analyst,Risk Analyst,Full_Time,LOC_OTT
P-000105,DEPT_SALES_098,2016-02-25,New Position,Employee,Regular,JP_0024,Tax Specialist,Tax Specialist,Full_Time,LOC_MTL
P-000106,DEPT_TECH_038,2016-02-18,New Position,Employee,Regular,JP_0050,HRIS Analyst,HRIS Analyst,Full_Time,LOC_NYC
P-000107,DEPT_INVEST_121,2016-02-24,New Position,Employee,Regular,JP_0007,DevOps Engineer,DevOps Engineer,Full_Time,LOC_OTT
P-000108,DEPT_TECH_033,2016-02-16,New Position,Employee,Regular,JP_0012,Product Manager - Tech,Product Manager - Tech,Full_Time,LOC_WIN
P-000109,DEPT_TECH_025,2016-02-22,New Position,Employee,Regular,JP_0014,Database Administrator,Database Administrator,Full_Time,LOC_US_REM
P-000110,DEPT_MKT_112,2016-02-13,New Position,Employee,Regular,JP_0070,Digital Marketing Specialist,Digital Marketing Specialist,Full_Time,LOC_MTL
P-000111,DEPT_INVEST_123,2016-02-29,New Position,Employee,Regular,JP_0010,Cybersecurity Analyst,Cybersecurity Analyst,Full_Time,LOC_MTL
P-000112,DEPT_FIN_011,2016-02-26,New Position,Employee,Regular,JP_0060,Investment Advisor,Investment Advisor,Full_Time,LOC_VAN
P-000113,DEPT_SALES_107,2016-02-17,New Position,Employee,Regular,JP_0086,Office Manager,Office Manager,Full_Time,LOC_CA_REM
P-000114,DEPT_SALES_104,2016-02-24,New Position,Employee,Fixed Term,JP_0065,Mortgage Specialist,Mortgage Specialist,Full_Time,LOC_TOR_FP
P-000115,DEPT_TECH_027,2016-02-15,New Position,Employee,Regular,JP_0033,Compliance Analyst,Compliance Analyst,Full_Time,LOC_TOR_HQ
P-000116,DEPT_RISK_041,2016-02-18,New Position,Employee,Regular,JP_0066,Insurance Advisor,Insurance Advisor,Full_Time,LOC_NYC
P-000117,DEPT_INVEST_116,2016-02-21,New Position,Employee,Regular,JP_0012,Product Manager - Tech,Product Manager - Tech,Full_Time,LOC_TOR_HQ
