Employee_ID,Transaction_WID,Transaction_Effective_Date,Transaction_Entry_Date,Transaction_Type,Organization_ID,Organization_Type,Sequence_Number,Worker_Workday_ID
30012005,b6b4c82f4d9598194be2cd9c264b2116,2026-01-17,2026-01-17 15:34:38,Data Change,WARLAB_INS,Company,9,6a5935ddfd456a1f37458b9a023c4117
30012005,b6b4c82f4d9598194be2cd9c264b2116,2026-01-17,2026-01-17 15:34:38,Data Change,DEPT_SALES_091,Supervisory,9,6a5935ddfd456a1f37458b9a023c4117
30012010,c854abcc26a6824624aa037eb7b8488c,2026-01-31,2026-02-05 10:59:32,Data Change,CC_0096,Cost_Center,8,3bbf91f4f0d02cb2c378ac5ccf6db617
30012010,c854abcc26a6824624aa037eb7b8488c,2026-01-31,2026-02-05 10:59:32,Data Change,WARLAB_HOLD,Company,8,3bbf91f4f0d02cb2c378ac5ccf6db617
30012010,c854abcc26a6824624aa037eb7b8488c,2026-01-31,2026-02-05 10:59:32,Data Change,DEPT_LEGAL_088,Supervisory,8,3bbf91f4f0d02cb2c378ac5ccf6db617
30012020,8f4fdf8020bd0f24eae308992b33709b,2026-01-12,2026-01-13 16:43:51,Data Change,CC_0170,Cost_Center,8,39264176b7628be4c6fd2bda1b8a58e3
30012020,8f4fdf8020bd0f24eae308992b33709b,2026-01-12,2026-01-13 16:43:51,Data Change,WARLAB_TECH,Company,8,39264176b7628be4c6fd2bda1b8a58e3
30012020,8f4fdf8020bd0f24eae308992b33709b,2026-01-12,2026-01-13 16:43:51,Data Change,DEPT_RISK_043,Supervisory,8,39264176b7628be4c6fd2bda1b8a58e3
30012035,25bd681a202de15df03874183d78fdb4,2026-01-11,2026-01-12 12:03:25,Return from Leave,CC_0082,Cost_Center,9,94f0d2e4e7d78f315ffd9234bbb78ca1
30012035,25bd681a202de15df03874183d78fdb4,2026-01-11,2026-01-12 12:03:25,Return from Leave,WARLAB_CA,Company,9,94f0d2e4e7d78f315ffd9234bbb78ca1
30012035,25bd681a202de15df03874183d78fdb4,2026-01-11,2026-01-12 12:03:25,Return from Leave,DEPT_ADMIN_127,Supervisory,9,94f0d2e4e7d78f315ffd9234bbb78ca1
30012036,f65288574d524924b213260d1a69d257,2026-01-03,2026-01-05 16:00:07,Data Change,CC_0111,Cost_Center,5,4d6166314e56fedd965a78b280e45e0f
30012036,f65288574d524924b213260d1a69d257,2026-01-03,2026-01-05 16:00:07,Data Change,WARLAB_INS,Company,5,4d6166314e56fedd965a78b280e45e0f
30012036,f65288574d524924b213260d1a69d257,2026-01-03,2026-01-05 16:00:07,Data Change,DEPT_SALES_099,Supervisory,5,4d6166314e56fedd965a78b280e45e0f
30012043,cdf08e640bbeb51ae2d4431bb4b31c8a,2026-01-03,2026-01-07 13:48:10,Data Change,CC_0074,Cost_Center,9,bc3af08d9edf57fa5c0731157e32ecb4
30012043,cdf08e640bbeb51ae2d4431bb4b31c8a,2026-01-03,2026-01-07 13:48:10,Data Change,WARLAB_WM,Company,9,bc3af08d9edf57fa5c0731157e32ecb4
30012043,cdf08e640bbeb51ae2d4431bb4b31c8a,2026-01-03,2026-01-07 13:48:10,Data Change,DEPT_INVEST_114,Supervisory,9,bc3af08d9edf57fa5c0731157e32ecb4
30012044,78256072a7889e37cf69288404b6826a,2026-01-23,2026-01-23 08:00:02,Data Change,CC_0132,Cost_Center,9,e52f49ec6339f39c799b380d0359908f
30012044,78256072a7889e37cf69288404b6826a,2026-01-23,2026-01-23 08:00:02,Data Change,WARLAB_US,Company,9,e52f49ec6339f39c799b380d0359908f
30012044,78256072a7889e37cf69288404b6826a,2026-01-23,2026-01-23 08:00:02,Data Change,DEPT_HR_082,Supervisory,9,e52f49ec6339f39c799b380d0359908f
30012045,1df4b5aaec074d167b36dad4cd42799d,2026-01-14,2026-01-14 10:44:55,Data Change,CC_0136,Cost_Center,6,0e41b7e73f8e8814df8dcfbeee29e32b
30012045,1df4b5aaec074d167b36dad4cd42799d,2026-01-14,2026-01-14 10:44:55,Data Change,WARLAB_US,Company,6,0e41b7e73f8e8814df8dcfbeee29e32b
30012045,1df4b5aaec074d167b36dad4cd42799d,2026-01-14,2026-01-14 10:44:55,Data Change,DEPT_OPS_068,Supervisory,6,0e41b7e73f8e8814df8dcfbeee29e32b
30012051,e4430b2e150af27211077436864f8be6,2026-01-02,2026-01-06 08:16:41,Data Change,CC_0133,Cost_Center,7,44c229447de284e08cd3450d74c6cb1a
30012051,e4430b2e150af27211077436864f8be6,2026-01-02,2026-01-06 08:16:41,Data Change,WARLAB_WM,Company,7,44c229447de284e08cd3450d74c6cb1a
30012051,e4430b2e150af27211077436864f8be6,2026-01-02,2026-01-06 08:16:41,Data Change,DEPT_MKT_109,Supervisory,7,44c229447de284e08cd3450d74c6cb1a
30012056,b90e2d4f21a03c0f20e765982579bfec,2026-01-17,2026-01-22 12:29:38,Change Job,CC_0132,Cost_Center,7,fc1cbae4bd4549900e1beed8556f9774
