Job_Profile_ID,Job_Profile_WID,Compensation_Grade,Critical_Job_Flag,Difficult_to_Fill_Flag,Inactive_Flag,Job_Category_Code,Job_Category_Name,Job_Exempt_Canada,Job_Exempt_US,Job_Family,Job_Family_Group,Job_Family_Group_Name,Job_Family_Name,Job_Level_Code,Job_Level_Name,Job_Profile_Code,Job_Profile_Description,Job_Profile_Name,Job_Profile_Summary,Job_Title,Management_Level_Code,Management_Level_Name,Pay_Rate_Type,Public_Job,Work_Shift_Required,JOB_MATRIX,IS_PEOPLE_MANAGER,IS_MANAGER,FREQUENCY
JP_0001,6bbeffeb0e5e903551ee30d26aea7fd8,G01,N,N,0,JC_Individual_Contributor,Individual Contributor,Exempt,Exempt,FN_TECH,JFG_TECH,Technology,Technology,G01,Analyst I,JPC_0001,Responsible for software engineer functions within Technology.,Software Engineer,Software Engineer - Technology,Software Engineer,MLH_Professional,Professional,Salary,1,0,JFG_TECH,0,0,Annual
JP_0002,2500bc6c763da4da861d4c67c99a3f89,G11,Y,N,0,JC_Individual_Contributor,Individual Contributor,Non-Exempt,Exempt,FN_TECH,JFG_TECH,Technology,Technology,G11,Vice President,JPC_0002,Responsible for senior software engineer functions within Technology.,Senior Software Engineer,Senior Software Engineer - Technology,Senior Software Engineer,MLH_Executive,Executive,Salary,1,0,JFG_TECH,0,1,Annual
JP_0003,163ae3416b53d3148c58ea95e16b7bc4,G02,N,N,0,JC_Individual_Contributor,Individual Contributor,Exempt,Exempt,FN_TECH,JFG_TECH,Technology,Technology,G02,Analyst II,JPC_0003,Responsible for staff engineer functions within Technology.,Staff Engineer,Staff Engineer - Technology,Staff Engineer,MLH_Professional,Professional,Salary,1,0,JFG_TECH,0,0,Annual
JP_0004,759433c40723abaaaff136601d19c63f,G06,N,N,0,JC_Individual_Contributor,Individual Contributor,Non-Exempt,Non-Exempt,FN_TECH,JFG_TECH,Technology,Technology,G06,Manager,JPC_0004,Responsible for data engineer functions within Technology.,Data Engineer,Data Engineer - Technology,Data Engineer,MLH_Professional,Professional,Salary,1,0,JFG_TECH,0,0,Annual
JP_0005,f4a6b244ba26cc9eca2c864ef03335ab,G01,N,N,0,JC_Individual_Contributor,Individual Contributor,Non-Exempt,Non-Exempt,FN_TECH,JFG_TECH,Technology,Technology,G01,Analyst I,JPC_0005,Responsible for data scientist functions within Technology.,Data Scientist,Data Scientist - Technology,Data Scientist,MLH_Professional,Professional,Salary,1,0,JFG_TECH,0,0,Annual
JP_0006,9a2174f586111294cf7800c8d0e14aba,G03,Y,Y,0,JC_Individual_Contributor,Individual Contributor,Non-Exempt,Exempt,FN_TECH,JFG_TECH,Technology,Technology,G03,Senior Analyst,JPC_0006,Responsible for cloud architect functions within Technology.,Cloud Architect,Cloud Architect - Technology,Cloud Architect,MLH_Professional,Professional,Salary,1,0,JFG_TECH,0,0,Annual
JP_0007,53c98beb4dc453fc181679bf599bce89,G03,N,Y,0,JC_Individual_Contributor,Individual Contributor,Non-Exempt,Exempt,FN_TECH,JFG_TECH,Technology,Technology,G03,Senior Analyst,JPC_0007,Responsible for devops engineer functions within Technology.,DevOps Engineer,DevOps Engineer - Technology,DevOps Engineer,MLH_Professional,Professional,Salary,1,0,JFG_TECH,0,0,Annual
JP_0008,4742ad26c5518b022331080503974450,G04,Y,N,0,JC_Individual_Contributor,Individual Contributor,Non-Exempt,Non-Exempt,FN_TECH,JFG_TECH,Technology,Technology,G04,Associate,JPC_0008,Responsible for qa engineer functions within Technology.,QA Engineer,QA Engineer - Technology,QA Engineer,MLH_Professional,Professional,Salary,1,0,JFG_TECH,0,0,Annual
JP_0009,e310e9a45784d5af2f59a2a49eafe9cc,G06,Y,Y,0,JC_Individual_Contributor,Individual Contributor,Exempt,Non-Exempt,FN_TECH,JFG_TECH,Technology,Technology,G06,Manager,JPC_0009,Responsible for it support specialist functions within Technology.,IT Support Specialist,IT Support Specialist - Technology,IT Support Specialist,MLH_Professional,Professional,Salary,1,0,JFG_TECH,0,0,Annual
JP_0010,5a92b5c918d9222a4f2d4e85fc098397,G02,Y,N,0,JC_Individual_Contributor,Individual Contributor,Non-Exempt,Non-Exempt,FN_TECH,JFG_TECH,Technology,Technology,G02,Analyst II,JPC_0010,Responsible for cybersecurity analyst functions within Technology.,Cybersecurity Analyst,Cybersecurity Analyst - Technology,Cybersecurity Analyst,MLH_Professional,Professional,Salary,1,0,JFG_TECH,0,0,Annual
