Employee_ID,Transaction_WID,Transaction_Effective_Date,Transaction_Entry_Date,Transaction_Type,Organization_ID,Organization_Type,Sequence_Number,Worker_Workday_ID
30020924,a041a8076318e3a82b5bdfe9bba91058,2026-03-26,2026-03-26 10:22:07,Hire,CC_0001,Cost_Center,1,50970ddf59a2a2baf15420b344a8f0ca
30020924,a041a8076318e3a82b5bdfe9bba91058,2026-03-26,2026-03-26 10:22:07,Hire,WARLAB_HOLD,Company,1,50970ddf59a2a2baf15420b344a8f0ca
30020924,a041a8076318e3a82b5bdfe9bba91058,2026-03-26,2026-03-26 10:22:07,Hire,DEPT_ADMIN_130,Supervisory,1,50970ddf59a2a2baf15420b344a8f0ca
30020925,5f440b74b90105be3f8af62050435b9b,2026-03-26,2026-03-26 10:21:10,Hire,CC_0001,Cost_Center,1,4adf4aec5aa475ad77e26cb6e6804a9b
30020925,5f440b74b90105be3f8af62050435b9b,2026-03-26,2026-03-26 10:21:10,Hire,WARLAB_HOLD,Company,1,4adf4aec5aa475ad77e26cb6e6804a9b
30020925,5f440b74b90105be3f8af62050435b9b,2026-03-26,2026-03-26 10:21:10,Hire,DEPT_RISK_049,Supervisory,1,4adf4aec5aa475ad77e26cb6e6804a9b
30020925,5f440b74b90105be3f8af62050435b9b,2026-03-26,2026-03-26 10:21:10,Hire,MORG_INNOV,Matrix_Organization,1,4adf4aec5aa475ad77e26cb6e6804a9b
30009389,25da9f23c2f46c2d642d612a193e5894,2026-03-26,2026-03-26 13:08:41,Data Change,CC_0001,Cost_Center,11,fbf359686b10a14419924f68f1944e25
30009389,25da9f23c2f46c2d642d612a193e5894,2026-03-26,2026-03-26 13:08:41,Data Change,WARLAB_HOLD,Company,11,fbf359686b10a14419924f68f1944e25
30009389,25da9f23c2f46c2d642d612a193e5894,2026-03-26,2026-03-26 13:08:41,Data Change,DEPT_ADMIN_127,Supervisory,11,fbf359686b10a14419924f68f1944e25
30015111,c4bbc22a87ac7615480f2f5ebd20d301,2026-03-26,2026-03-26 16:18:42,Data Change,CC_0001,Cost_Center,6,678e8dafd2c0c6953ed54b23153420c5
30015111,c4bbc22a87ac7615480f2f5ebd20d301,2026-03-26,2026-03-26 16:18:42,Data Change,WARLAB_HOLD,Company,6,678e8dafd2c0c6953ed54b23153420c5
30015111,c4bbc22a87ac7615480f2f5ebd20d301,2026-03-26,2026-03-26 16:18:42,Data Change,DEPT_LEGAL_089,Supervisory,6,678e8dafd2c0c6953ed54b23153420c5
