Cost_Center_ID,Cost_Center_WID,Cost_Center_Code,Cost_Center_Name,Hierarchy,Subtype
CC_0001,f3df50975d25511751ddce2fb5b941a5,0001,Office of the CEO - General,WARLab > Office of the CEO > General,Cost Center
CC_0002,2c569a0a591fee9461a8f15721dbf03e,0002,Office of the CEO - Projects,WARLab > Office of the CEO > Projects,Cost Center
CC_0003,27689090eaf9916feba7c7fbbd7c1b7a,0003,Office of the CEO - Operations,WARLab > Office of the CEO > Operations,Cost Center
CC_0004,549443a87c88cd1a93d331a40f09a96d,0004,Office of the CEO - Support,WARLab > Office of the CEO > Support,Cost Center
CC_0005,4f033e61c632ead8a98c335acc81bbbb,0005,Finance - General,WARLab > Finance > General,Cost Center
CC_0006,cc6ca9e1cdd4bbb6504047ab5a76aa98,0006,Finance - Projects,WARLab > Finance > Projects,Cost Center
CC_0007,a2bbcbd80def0d2f653c42f46ad34345,0007,Finance - Operations,WARLab > Finance > Operations,Cost Center
CC_0008,85dc097aaa7bcbd98734a4faf505fcbd,0008,Finance - Support,WARLab > Finance > Support,Cost Center
CC_0009,584af13b8c755153cea69feaefad656c,0009,Finance - Strategy,WARLab > Finance > Strategy,Cost Center
CC_0010,dd32f9a139b76d924b2f7fde28b598d3,0010,Finance - Analytics,WARLab > Finance > Analytics,Cost Center
CC_0011,2ff714455b5e7461f90c7b357be8b1b7,0011,Finance - Delivery,WARLab > Finance > Delivery,Cost Center
CC_0012,f79f3fc6a86e464541a8fa1801b7e605,0012,Finance - Infrastructure,WARLab > Finance > Infrastructure,Cost Center
CC_0013,3a0f69377466137815ffe0408845b54f,0013,Finance - Advisory,WARLab > Finance > Advisory,Cost Center
CC_0014,6e3571f1afb1a2c73e2826277b072aaa,0014,Finance - Compliance,WARLab > Finance > Compliance,Cost Center
CC_0015,54f363c2c6545be8ed1696e336d0326a,0015,Finance - Trading,WARLab > Finance > Trading,Cost Center
CC_0016,66fd17013ff18179d782184df3e98e5e,0016,Finance - Processing,WARLab > Finance > Processing,Cost Center
CC_0017,be38cffefe62e4b826c150fe1cac6c45,0017,Finance - Client Services,WARLab > Finance > Client Services,Cost Center
