Job_Classification_ID,Job_Classification_WID,Job_Classification_Name,Job_Classification_Group_ID,Job_Classification_Group_Name,Job_Profile_ID
JCL_0001,888d8c06491e9e9ed702ef80a4c9312d,Software Engineer - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0001
JCL_0002,dda1c29b1d0db1d51015eceba3a21139,Software Engineer - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0001
JCL_0003,0fe209905c78c7d195cf9418578a0a54,Software Engineer - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0001
JCL_0004,1ac9f45435d654e3c953772d335f0ecd,Software Engineer - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0001
JCL_0005,fa5611f364a214c325d4833b8c571dbb,Software Engineer - Job Collection,JCL_GRP_COLL,Job Collection,JP_0001
JCL_0006,cbbe97ca8d0a73e3d779f74f754bd61d,Software Engineer - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0001
JCL_0007,905757b17940244fee401ad99edf1983,Software Engineer - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0001
JCL_0008,8c8546ace72aa2feb8860157acce2384,Software Engineer - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0001
JCL_0009,c43736fb8e7b4fcc7a6a47cfc8a44986,Software Engineer - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0001
JCL_0010,705dab8453bc0210dd75dad85c4411fc,Software Engineer - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0001
JCL_0011,38eafbe54ac5be08306a6ea3cb6e2198,Software Engineer - Stock,JCL_GRP_STOCK,Stock,JP_0001
JCL_0012,d703dfbdf8bee61909fcc912497361e2,Senior Software Engineer - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0002
JCL_0013,8cc5d16769f348c41e47dec78f9d0070,Senior Software Engineer - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0002
JCL_0014,b732d6b9ffb5195c089befeeedf9d349,Senior Software Engineer - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0002
JCL_0015,05c250a157b5d3074fc574e50e9efc89,Senior Software Engineer - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0002
JCL_0016,39a26d47b6e775c45e9d4f2a76a9fb09,Senior Software Engineer - Job Collection,JCL_GRP_COLL,Job Collection,JP_0002
JCL_0017,a14ea5be5ded6867772d1bd5a5765b58,Senior Software Engineer - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0002
JCL_0018,de992dbfd0217e671b3412484337765e,Senior Software Engineer - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0002
JCL_0019,55779ffcf0969de20a08361986761a1d,Senior Software Engineer - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0002
JCL_0020,4e7f3f2bcbfb8c411d60f29ee3964aa6,Senior Software Engineer - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0002
JCL_0021,5966fbf6d0de01b08bdde89c716efa2c,Senior Software Engineer - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0002
JCL_0022,4a6d677a05dbddfa7a39b3633026156e,Senior Software Engineer - Stock,JCL_GRP_STOCK,Stock,JP_0002
JCL_0023,7dd1e56b9a53db6636a09684b24fbc8d,Staff Engineer - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0003
JCL_0024,f69495ac85fc1b76f081eed3ef810f98,Staff Engineer - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0003
JCL_0025,6daada84ebcfbb53fdda5c37559d1e49,Staff Engineer - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0003
JCL_0026,f44774c1e9fd95399f2db4a173c72119,Staff Engineer - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0003
JCL_0027,416701034d6dadc99abb7e1f9d134553,Staff Engineer - Job Collection,JCL_GRP_COLL,Job Collection,JP_0003
JCL_0028,94ad214e2460d1d21979419df0dcbeaa,Staff Engineer - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0003
JCL_0029,9a51401b3bbd6c99c967525db908fc65,Staff Engineer - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0003
JCL_0030,8833aebc981748165fab557ad2979062,Staff Engineer - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0003
JCL_0031,e0ca7871d4302792df9a9d7167269297,Staff Engineer - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0003
JCL_0032,8f916a8776d6b8716a141b14b3c465f7,Staff Engineer - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0003
JCL_0033,781c0891f66af8416824913671a17328,Staff Engineer - Stock,JCL_GRP_STOCK,Stock,JP_0003
JCL_0034,9c9d06f114c1a15bc12bd3b7e70991a6,Data Engineer - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0004
JCL_0035,bb56053310fea37f000ada8f2cf0873e,Data Engineer - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0004
JCL_0036,13468b81013390aa7186325c4e80645c,Data Engineer - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0004
JCL_0037,7715f9fae6a38170e89aa42424c63b7b,Data Engineer - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0004
JCL_0038,22354138ed4cf75c7cdb26684189227e,Data Engineer - Job Collection,JCL_GRP_COLL,Job Collection,JP_0004
