Position_ID,Supervisory_Organization,Effective_Date,Reason,Worker_Type,Worker_Sub_Type,Job_Profile,Job_Title,Business_Title,Time_Type,Location,Work_Space,Pay_Rate_Type,Schedule_Weekly_Hours,Scheduled_FTE,Default_Weekly_Hours,Employee_Type,shift_number,Exclude_From_Headcount
P-000001,DEPT_SALES_100,2016-02-19,New Position,Employee,Regular,JP_0069,Brand Manager,Brand Manager,Full_Time,LOC_NYC,,Salary,37.5,1.0,37.5,Regular,0,0
P-000002,DEPT_INVEST_116,2016-02-18,New Position,Contingent Worker,Contractor,JP_0039,Trade Operations Analyst,Trade Operations Analyst,Full_Time,LOC_TOR_FP,,Salary,37.5,1.0,37.5,Contractor,0,1
P-000003,DEPT_SALES_094,2016-02-28,New Position,Employee,Regular,JP_0064,Private Banker,Private Banker,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000004,DEPT_RISK_044,2016-02-19,New Position,Employee,Regular,JP_0081,Executive Assistant,Executive Assistant,Full_Time,LOC_MTL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000005,DEPT_SALES_104,2016-02-25,New Position,Employee,Regular,JP_0042,Operations Manager,Operations Manager,Full_Time,LOC_BOS,,Salary,37.5,1.0,37.5,Regular,0,0
P-000006,DEPT_RISK_041,2016-02-14,New Position,Contingent Worker,Contractor,JP_0020,Accountant,Accountant,Full_Time,LOC_CAL,,Salary,37.5,1.0,37.5,Contractor,0,1
P-000007,DEPT_LEGAL_088,2016-02-17,New Position,Employee,Regular,JP_0008,QA Engineer,QA Engineer,Full_Time,LOC_TOR_FP,,Salary,37.5,1.0,37.5,Regular,0,0
P-000008,DEPT_SALES_090,2016-02-15,New Position,Employee,Regular,JP_0052,Employee Relations Specialist,Employee Relations Specialist,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000009,DEPT_TECH_034,2016-02-15,New Position,Employee,Regular,JP_0041,Client Services Representative,Client Services Representative,Full_Time,LOC_CA_REM,,Salary,37.5,1.0,37.5,Regular,0,0
P-000010,DEPT_TECH_017,2016-02-19,New Position,Employee,Regular,JP_0057,Contract Specialist,Contract Specialist,Full_Time,LOC_NYC,,Salary,37.5,1.0,37.5,Regular,0,0
P-000011,DEPT_TECH_017,2016-02-16,New Position,Employee,Regular,JP_0063,Business Development Manager,Business Development Manager,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
