workday_id,idp_table,rescinded_moment
08e84a86be6bc03d0b7c4edf12185973,INT096,2021-02-03T15:50:46
0048bedabff2025aa360404ca29307d3,INT095E,2022-07-12T12:28:52
03869b6e76f4e6b4f440274eead7cfce,INT096,2020-04-12T09:22:13
9c44c484e84d8bbc09afd65519a3f212,INT096,2023-03-05T10:27:44
3882f3fec11dc52a6f1b4717609ba43f,INT096,2022-03-27T16:55:52
bae9f65d9c576003ccbd34ce4191de13,INT095E,2021-12-23T10:26:38
9a470e949dab2d7d1489170097c9359f,INT095E,2026-01-11T10:42:47
fa9e2e03ef4d39a87fc93624ebea4894,INT096,2024-03-30T11:34:39
a56efa346ff4d85b74ecdfd5deae094e,INT098,2024-01-17T10:48:51
8b68581a9f50ee3302bdced1870f7210,INT095E,2022-03-19T13:12:23
b97f3c67812e40d54e05a3085d39472c,INT095E,2023-04-03T12:33:06
02c0a6867f3a78935cabb04ed809c4b2,INT098,2023-02-06T16:06:40
88fbbe2bd629fae3d50308bebfbcadeb,INT098,2025-01-17T14:25:27
227911463ee42d366930cf8212612a66,INT096,2020-02-10T12:35:32
f8da71eed538a968ea8a394f9b492991,INT098,2020-02-07T14:30:35
2c7ffab3873d29a76dba097f97a460de,INT098,2025-01-21T13:48:41
b0bab8a42f2b7482e7f46a9c5c6c5a69,INT096,2022-01-05T10:55:46
1caeb9c65576f20f9a1eb44fbafd4c5f,INT095E,2019-12-12T11:35:39
8edc65d5e7c397188cc862016eebf6c6,INT096,2024-03-23T13:00:48
12f93738a856b1049024267e7cb589f2,INT098,2024-06-07T17:28:17
bbce92e4a61b0059271bd4bb031225d2,INT096,2025-01-09T10:59:34
675a14627cba2456fdbf401ab5d0b22a,INT098,2023-10-20T13:17:10
1e6204f86f541030be5f10d69859c800,INT095E,2020-03-18T12:21:06
3c9459c1d53bde3733826fb6348d2411,INT098,2024-01-03T14:45:43
5aecfd173ec3ac19e638b7f623168c6d,INT098,2026-01-08T16:23:22
5a614d6f4cdd3ff79a84f993b64d058f,INT095E,2022-04-06T08:32:40
9b60d20526544333374cacb038389b8f,INT095E,2024-07-22T14:24:02
