Position_ID|Supervisory_Organization|Effective_Date|Reason|Worker_Type|Worker_Sub_Type|Job_Profile|Job_Title|Business_Title|Time_Type|Location
POS00001|CC00083|2026-02-05|New Position|Employee|Contract|JP00019|Network Engineer|Network Engineer|Contract|LOC00018
POS00002|CC00018|2026-02-05|Reorganization|Contractor|Contract|JP00022|Sales Executive|Sales Executive|Temporary|LOC00059
POS00003|CC00055|2026-02-05|Reclass|Contractor|Contract|JP00131|HR Manager|HR Manager|Seasonal|LOC00029
POS00004|CC00055|2026-02-05|Reclass|Employee|Contract|JP00048|Project Manager|Project Manager|Temporary|LOC00092
POS00005|CC00035|2026-02-05|Reorganization|Intern|Seasonal|JP00129|System Administrator|System Administrator|Regular|LOC00005
POS00006|CC00062|2026-02-05|Expansion|Employee|Contract|JP00146|Product Manager|Product Manager|Regular|LOC00019
POS00007|CC00094|2026-02-05|Reclass|Contractor|Contract|JP00187|HR Manager|HR Manager|Regular|LOC00067
POS00008|CC00012|2026-02-05|Replacement|Contractor|Regular|JP00157|Security Analyst|Security Analyst|Seasonal|LOC00079
POS00009|CC00044|2026-02-05|Reclass|Employee|Contract|JP00014|Finance Manager|Finance Manager|Contract|LOC00066
POS00010|CC00074|2026-02-05|Expansion|Contractor|Seasonal|JP00121|Business Analyst|Business Analyst|Seasonal|LOC00038
POS00011|CC00005|2026-02-05|Reclass|Intern|Seasonal|JP00043|Sales Executive|Sales Executive|Seasonal|LOC00008
POS00012|CC00061|2026-02-05|Reclass|Employee|Regular|JP00162|System Administrator|System Administrator|Seasonal|LOC00095
POS00013|CC00004|2026-02-05|Expansion|Contractor|Regular|JP00160|Product Manager|Product Manager|Temporary|LOC00065
POS00014|CC00036|2026-02-05|Expansion|Employee|Seasonal|JP00020|Product Manager|Product Manager|Seasonal|LOC00033
POS00015|CC00095|2026-02-05|New Position|Intern|Temporary|JP00004|Sales Executive|Sales Executive|Temporary|LOC00085
POS00016|CC00048|2026-02-05|Replacement|Contractor|Temporary|JP00115|Network Engineer|Network Engineer|Contract|LOC00024
POS00017|CC00005|2026-02-05|Expansion|Employee|Temporary|JP00136|Sales Executive|Sales Executive|Temporary|LOC00064
POS00018|CC00053|2026-02-05|Reorganization|Employee|Contract|JP00193|Security Analyst|Security Analyst|Temporary|LOC00027
POS00019|CC00094|2026-02-05|Expansion|Employee|Seasonal|JP00148|Finance Manager|Finance Manager|Regular|LOC00007
POS00020|CC00060|2026-02-05|Reorganization|Contractor|Seasonal|JP00043|Sales Executive|Sales Executive|Contract|LOC00096
POS00021|CC00069|2026-02-05|Replacement|Contractor|Contract|JP00193|Security Analyst|Security Analyst|Contract|LOC00034
POS00022|CC00068|2026-02-05|Reorganization|Employee|Seasonal|JP00038|Marketing Manager|Marketing Manager|Contract|LOC00049
POS00023|CC00041|2026-02-05|Reclass|Intern|Regular|JP00174|Data Analyst|Data Analyst|Regular|LOC00069
POS00024|CC00046|2026-02-05|Reorganization|Intern|Seasonal|JP00164|Operations Manager|Operations Manager|Seasonal|LOC00035
POS00025|CC00013|2026-02-05|Expansion|Intern|Contract|JP00069|System Administrator|System Administrator|Contract|LOC00099
POS00026|CC00096|2026-02-05|Replacement|Intern|Temporary|JP00173|Finance Manager|Finance Manager|Seasonal|LOC00087
POS00027|CC00024|2026-02-05|Expansion|Intern|Regular|JP00177|Product Manager|Product Manager|Regular|LOC00009
POS00028|CC00053|2026-02-05|New Position|Intern|Regular|JP00004|Sales Executive|Sales Executive|Contract|LOC00045
POS00029|CC00093|2026-02-05|Expansion|Contractor|Temporary|JP00057|System Administrator|System Administrator|Regular|LOC00004
POS00030|CC00012|2026-02-05|New Position|Intern|Temporary|JP00159|Network Engineer|Network Engineer|Regular|LOC00091
POS00031|CC00012|2026-02-05|Reclass|Employee|Contract|JP00031|Network Engineer|Network Engineer|Temporary|LOC00015
POS00032|CC00024|2026-02-05|Expansion|Contractor|Contract|JP00179|Operations Manager|Operations Manager|Regular|LOC00082
POS00033|CC00036|2026-02-05|Reorganization|Intern|Seasonal|JP00117|System Administrator|System Administrator|Seasonal|LOC00021
POS00034|CC00010|2026-02-05|Expansion|Employee|Contract|JP00200|Project Manager|Project Manager|Contract|LOC00043
POS00035|CC00034|2026-02-05|Expansion|Employee|Contract|JP00016|Sales Executive|Sales Executive|Regular|LOC00063
POS00036|CC00079|2026-02-05|Reorganization|Employee|Contract|JP00052|Network Engineer|Network Engineer|Regular|LOC00019
POS00037|CC00099|2026-02-05|Reorganization|Employee|Regular|JP00139|Accountant|Accountant|Contract|LOC00092
POS00038|CC00014|2026-02-05|New Position|Employee|Regular|JP00067|Accountant|Accountant|Seasonal|LOC00100
POS00039|CC00003|2026-02-05|Reorganization|Employee|Regular|JP00115|Network Engineer|Network Engineer|Regular|LOC00086
POS00040|CC00035|2026-02-05|Replacement|Intern|Seasonal|JP00100|System Administrator|System Administrator|Contract|LOC00074
POS00041|CC00066|2026-02-05|Reorganization|Contractor|Contract|JP00001|Quality Assurance|Quality Assurance|Contract|LOC00094
POS00042|CC00009|2026-02-05|Reclass|Employee|Regular|JP00200|Project Manager|Project Manager|Contract|LOC00089
POS00043|CC00062|2026-02-05|New Position|Intern|Seasonal|JP00200|Project Manager|Project Manager|Seasonal|LOC00088
POS00044|CC00052|2026-02-05|New Position|Intern|Regular|JP00078|Project Manager|Project Manager|Seasonal|LOC00069
POS00045|CC00011|2026-02-05|Reorganization|Contractor|Temporary|JP00088|Finance Manager|Finance Manager|Temporary|LOC00071
POS00046|CC00050|2026-02-05|Replacement|Contractor|Contract|JP00011|Software Engineer|Software Engineer|Regular|LOC00081
POS00047|CC00046|2026-02-05|Reorganization|Employee|Contract|JP00177|Product Manager|Product Manager|Temporary|LOC00018
POS00048|CC00025|2026-02-05|New Position|Intern|Temporary|JP00010|Marketing Manager|Marketing Manager|Contract|LOC00050
POS00049|CC00070|2026-02-05|Expansion|Contractor|Contract|JP00017|Data Analyst|Data Analyst|Regular|LOC00005
POS00050|CC00008|2026-02-05|Expansion|Intern|Regular|JP00087|Product Manager|Product Manager|Contract|LOC00016
POS00051|CC00084|2026-02-05|Reclass|Contractor|Temporary|JP00055|Operations Manager|Operations Manager|Temporary|LOC00010
POS00052|CC00095|2026-02-05|Replacement|Contractor|Regular|JP00010|Marketing Manager|Marketing Manager|Contract|LOC00080
POS00053|CC00032|2026-02-05|Replacement|Employee|Temporary|JP00012|System Administrator|System Administrator|Regular|LOC00040
POS00054|CC00059|2026-02-05|Reclass|Employee|Regular|JP00025|Security Analyst|Security Analyst|Regular|LOC00015
POS00055|CC00077|2026-02-05|Reclass|Employee|Regular|JP00128|Accountant|Accountant|Temporary|LOC00055
POS00056|CC00095|2026-02-05|Reorganization|Contractor|Regular|JP00087|Product Manager|Product Manager|Temporary|LOC00042
POS00057|CC00098|2026-02-05|New Position|Intern|Temporary|JP00055|Operations Manager|Operations Manager|Seasonal|LOC00009
POS00058|CC00036|2026-02-05|Replacement|Contractor|Temporary|JP00031|Network Engineer|Network Engineer|Seasonal|LOC00071
POS00059|CC00057|2026-02-05|Replacement|Intern|Regular|JP00043|Sales Executive|Sales Executive|Temporary|LOC00013
POS00060|CC00079|2026-02-05|Reorganization|Employee|Regular|JP00162|System Administrator|System Administrator|Contract|LOC00011
POS00061|CC00001|2026-02-05|Replacement|Employee|Seasonal|JP00002|Product Manager|Product Manager|Contract|LOC00089
POS00062|CC00061|2026-02-05|Replacement|Employee|Temporary|JP00198|System Administrator|System Administrator|Seasonal|LOC00067
POS00063|CC00053|2026-02-05|Replacement|Employee|Regular|JP00116|Operations Manager|Operations Manager|Temporary|LOC00092
POS00064|CC00079|2026-02-05|New Position|Intern|Seasonal|JP00128|Accountant|Accountant|Seasonal|LOC00054
POS00065|CC00072|2026-02-05|Replacement|Employee|Regular|JP00002|Product Manager|Product Manager|Regular|LOC00080
