Employee_ID|Transaction_WID|Transaction_Effective_Date|Transaction_Entry_Date|Transaction_Type|Position_ID|Effective_Date|Worker_Type|Worker_Sub-Type|Business_Title|Business_Site_ID|Mailstop_Floor|Worker_Status|Active|Active_Status_Date|Hire_Date|Original_Hire_Date|Hire_Reason|Employment_End_Date|Continuous_Service_Date|First_Day_of_Work|Expected_Retirement_Date|Retirement_Eligibility_Date|Retired|Seniority_Date|Severance_Date|Benefits_Service_Date|Company_Service_Date|Time_Off_Service_Date|Vesting_Date|Terminated|Termination_Date|Pay_Through_Date|Primary_Termination_Reason|Primary_Termination_Category|Termination_Involuntary|Secondary_Termination_Reason|Local_Termination_Reason|Not_Eligible_for_Hire|Regrettable_Termination|Hire_Rescinded|Resignation_Date|Last_Day_of_Work|Last_Date_for_Which_Paid|Expected_Date_of_Return|Not_Returning|Return_Unknown|Probation_Start_Date|Probation_End_Date|Academic_Tenure_Date|Has_International_Assignment|Home_Country|Host_Country|International_Assignment_Type|Start_Date_of_International_Assignment|End_Date_of_International_Assignment|Rehire|Eligible_For_Rehire|Action|Action_Code|Action_Reason|Action_Reason_Code|Manager_ID|Soft_Retirement_Indicator|Job_Profile_ID|Sequence_Number|Planned_End_Contract_Date|Job_Entry_Dt|Stock_Grants|Time_Type|Supervisory_Organization|Location|Job_Title|French_Job_Title|Shift_Number|Scheduled_Weekly_Hours|Default_Weekly_Hours|Scheduled_FTE|Work_Model_Start_Date|Work_Model_Type|Worker_Workday_ID
EMP00001|TXN671776543|2018-02-06|2018-02-12 00:00:00|Hire|POS00414|2018-02-06|Employee|Contract|Software Engineer|LOC00064||Active|True|2018-02-06|2018-02-06|2018-02-06|New Hire||2018-02-06|2018-02-06|||False|2018-02-06||2018-02-06|2018-02-06|2018-02-06|2019-02-06|False|||||False|||False|False|False|||||False|false|2018-02-06|2018-05-07||False|US|CA|Inpatriate|||False|N|Hire|ACT509|Employee Request|ARC103|EMP00389|False|JP00058|1||2018-02-06||Seasonal|CC00098|LOC00064|Software Engineer|Titre Français: Software Engineer|1|30|40|1|2018-02-06|Remote|WID0000100
EMP00001|TXN549113543|2019-07-01|2019-07-01 00:00:00|Promotion|POS00230|2019-07-01|Employee|Regular|Network Engineer|LOC00018||Active|True|2018-02-06|2018-02-06|2018-02-06|Transfer||2018-02-06|2018-02-06|||False|2018-02-06||2018-02-06|2018-02-06|2018-02-06|2019-02-06|False|||||False|||False|False|False|||||False|false|2018-02-06|2018-05-07||False|US|US||||False|N|Promotion|ACT355|Business Need|ARC682|EMP00314|False|JP00159|2||2019-07-01||Contract|CC00088|LOC00018|Network Engineer|Titre Français: Network Engineer|1|40|40|1|2019-07-01|Remote|WID0000101
EMP00001|TXN649042259|2020-10-07|2020-10-09 00:00:00|Promotion|POS00378|2020-10-07|Employee|Temporary|Project Manager|LOC00093||Active|True|2018-02-06|2018-02-06|2018-02-06|Transfer||2018-02-06|2018-02-06|||False|2018-02-06||2018-02-06|2018-02-06|2018-02-06|2019-02-06|False|||||False|||False|False|False|||||False|false|2018-02-06|2018-05-07||True|US|MX||||False|N|Promotion|ACT166|Business Need|ARC311|EMP00449|False|JP00118|3||2020-10-07||Contract|CC00059|LOC00093|Project Manager|Titre Français: Project Manager|1|40|40|1|2020-10-07|Office|WID0000102
EMP00001|TXN637101700|2020-02-22|2020-02-27 00:00:00|Transfer|POS00251|2020-02-22|Employee|Regular|Network Engineer|LOC00060||Active|True|2018-02-06|2018-02-06|2018-02-06|Transfer||2018-02-06|2018-02-06|||False|2018-02-06||2018-02-06|2018-02-06|2018-02-06|2019-02-06|False|||||False|||False|False|False|||||False|false|2018-02-06|2018-05-07||True|US|FR||||False|N|Transfer|ACT987|Organizational Change|ARC581|EMP00371|False|JP00041|4||2020-02-22||Contract|CC00010|LOC00060|Network Engineer|Titre Français: Network Engineer|1|40|40|1|2020-02-22|Remote|WID0000103
EMP00001|TXN933864175|2020-01-18|2020-01-25 00:00:00|Transfer|POS00062|2020-01-18|Employee|Contract|Quality Assurance|LOC00038|FL1|Active|True|2018-02-06|2018-02-06|2018-02-06|Transfer||2018-02-06|2018-02-06|||False|2018-02-06||2018-02-06|2018-02-06|2018-02-06|2019-02-06|False|||||False|||False|False|False|||||False|false|2018-02-06|2018-05-07||False|US|UK||||False|N|Transfer|ACT623|Organizational Change|ARC765|EMP00417|False|JP00124|5||2020-01-18||Contract|CC00055|LOC00038|Quality Assurance|Titre Français: Quality Assurance|1|35|40|1|2020-01-18|Remote|WID0000104
EMP00001|TXN220026868|2020-05-15|2020-05-20 00:00:00|Promotion|POS00348|2020-05-15|Employee|Temporary|Software Engineer|LOC00019|FL2|Active|True|2018-02-06|2018-02-06|2018-02-06|Transfer||2018-02-06|2018-02-06|||False|2018-02-06||2018-02-06|2018-02-06|2018-02-06|2019-02-06|False|||||False|||False|False|False|||||False|false|2018-02-06|2018-05-07||False|US|US||||False|N|Promotion|ACT810|Business Need|ARC569|EMP00469|False|JP00106|6||2020-05-15||Contract|CC00097|LOC00019|Software Engineer|Titre Français: Software Engineer|1|40|40|1|2020-05-15|Hybrid|WID0000105
EMP00002|TXN851148628|2023-12-10|2023-12-14 00:00:00|Hire|POS00282|2023-12-10|Employee|Temporary|Product Manager|LOC00077||Active|True|2023-12-10|2023-12-10|2023-12-10|New Hire||2023-12-10|2023-12-10|||False|2023-12-10||2023-12-10|2023-12-10|2023-12-10|2024-12-09|False|||||False|||False|False|False|||||False|false|2023-12-10|2024-03-09||False|US|US||||False|N|Hire|ACT479|Organizational Change|ARC471|EMP00020|False|JP00146|1||2023-12-10||Seasonal|CC00040|LOC00077|Product Manager|Titre Français: Product Manager|1|40|40|1|2023-12-10|Remote|WID0000200
EMP00002|TXN416624578|2024-08-14|2024-08-16 00:00:00|Promotion|POS00300|2024-08-14|Employee|Temporary|Sales Executive|LOC00050||Active|True|2023-12-10|2023-12-10|2023-12-10|Transfer||2023-12-10|2023-12-10|||False|2023-12-10||2023-12-10|2023-12-10|2023-12-10|2024-12-09|False|||||False|||False|False|False|||||False|false|2023-12-10|2024-03-09||True|US|DE||||False|N|Promotion|ACT698|Business Need|ARC365|EMP00133|False|JP00156|2||2024-08-14||Seasonal|CC00093|LOC00050|Sales Executive|Titre Français: Sales Executive|1|40|40|1|2024-08-14|Hybrid|WID0000201
EMP00002|TXN282976474|2026-11-29|2026-12-01 00:00:00|Demotion|POS00514|2026-11-29|Employee|Seasonal|Data Analyst|LOC00041||Active|True|2023-12-10|2023-12-10|2023-12-10|Transfer||2023-12-10|2023-12-10|||False|2023-12-10||2023-12-10|2023-12-10|2023-12-10|2024-12-09|False|||||False|||False|False|False|||||False|false|2023-12-10|2024-03-09||False|US|FR||||False|N|Demotion|ACT637|Employee Request|ARC279|EMP00269|False|JP00151|3||2026-11-29||Contract|CC00049|LOC00041|Data Analyst|Titre Français: Data Analyst|1|40|40|1|2026-11-29|Hybrid|WID0000202
EMP00002|TXN261156324|2024-12-18|2024-12-21 00:00:00|Transfer|POS00511|2024-12-18|Employee|Regular|Accountant|LOC00059|FL5|Active|True|2023-12-10|2023-12-10|2023-12-10|Transfer||2023-12-10|2023-12-10|||False|2023-12-10||2023-12-10|2023-12-10|2023-12-10|2024-12-09|False|||||False|||False|False|False|||||False|false|2023-12-10|2024-03-09||True|US|FR||||False|N|Transfer|ACT780|Business Need|ARC508|EMP00293|False|JP00092|4||2024-12-18||Regular|CC00043|LOC00059|Accountant|Titre Français: Accountant|1|40|40|1|2024-12-18|Remote|WID0000203
