Employee_ID|Transaction_WID|Transaction_Effective_Date|Transaction_Entry_Date|Transaction_Type|Organization_ID|Organization_Type|Sequence_Number|Worker_Workday_ID
EMP00001|TXNO440088530|2018-02-06|2018-02-08 00:00:00|Org Assignment|CMP0005|Company|1|WID00001O67
EMP00001|TXNO109359238|2018-02-06|2018-02-09 00:00:00|Org Assignment|CC00079|Cost Center|1|WID00001O67
EMP00001|TXNO552767709|2018-02-06|2018-02-12 00:00:00|Org Assignment|DPT00121|Supervisory Organization|1|WID00001O83
EMP00002|TXNO234951071|2023-12-10|2023-12-11 00:00:00|Org Assignment|CMP0002|Company|1|WID00002O67
EMP00002|TXNO200322132|2023-12-10|2023-12-13 00:00:00|Org Assignment|CC00064|Cost Center|1|WID00002O67
EMP00002|TXNO183529667|2023-12-10|2023-12-11 00:00:00|Org Assignment|DPT00011|Supervisory Organization|1|WID00002O83
EMP00003|TXNO831250055|2017-09-23|2017-09-29 00:00:00|Org Assignment|CMP0009|Company|1|WID00003O67
EMP00003|TXNO981239287|2017-09-23|2017-09-25 00:00:00|Org Assignment|CC00043|Cost Center|1|WID00003O67
EMP00003|TXNO150271086|2017-09-23|2017-09-28 00:00:00|Org Assignment|DPT00080|Supervisory Organization|1|WID00003O83
EMP00004|TXNO548393724|2022-06-26|2022-07-02 00:00:00|Org Assignment|CMP0018|Company|1|WID00004O67
EMP00004|TXNO195505226|2022-06-26|2022-06-29 00:00:00|Org Assignment|CC00003|Cost Center|1|WID00004O67
EMP00004|TXNO741206620|2022-06-26|2022-06-29 00:00:00|Org Assignment|DPT00092|Supervisory Organization|1|WID00004O83
EMP00005|TXNO779574128|2022-04-17|2022-04-19 00:00:00|Org Assignment|CMP0006|Company|1|WID00005O67
EMP00005|TXNO858084717|2022-04-17|2022-04-20 00:00:00|Org Assignment|CC00100|Cost Center|1|WID00005O67
EMP00005|TXNO296130283|2022-04-17|2022-04-17 00:00:00|Org Assignment|DPT00189|Supervisory Organization|1|WID00005O83
EMP00006|TXNO947436477|2021-03-21|2021-03-23 00:00:00|Org Assignment|CMP0007|Company|1|WID00006O67
EMP00006|TXNO667799719|2021-03-21|2021-03-21 00:00:00|Org Assignment|CC00070|Cost Center|1|WID00006O67
EMP00006|TXNO539389396|2021-03-21|2021-03-27 00:00:00|Org Assignment|DPT00154|Supervisory Organization|1|WID00006O83
EMP00007|TXNO608005863|2016-02-19|2016-02-24 00:00:00|Org Assignment|CMP0013|Company|1|WID00007O67
EMP00007|TXNO713942135|2016-02-19|2016-02-21 00:00:00|Org Assignment|CC00046|Cost Center|1|WID00007O67
EMP00007|TXNO207388653|2016-02-19|2016-02-25 00:00:00|Org Assignment|DPT00066|Supervisory Organization|1|WID00007O83
EMP00008|TXNO178301341|2022-01-25|2022-01-29 00:00:00|Org Assignment|CMP0006|Company|1|WID00008O67
EMP00008|TXNO353894661|2022-01-25|2022-02-01 00:00:00|Org Assignment|CC00034|Cost Center|1|WID00008O67
EMP00008|TXNO855263637|2022-01-25|2022-01-26 00:00:00|Org Assignment|DPT00175|Supervisory Organization|1|WID00008O83
EMP00009|TXNO536164555|2016-03-23|2016-03-27 00:00:00|Org Assignment|CMP0002|Company|1|WID00009O67
EMP00009|TXNO599817298|2016-03-23|2016-03-24 00:00:00|Org Assignment|CC00070|Cost Center|1|WID00009O67
EMP00009|TXNO255691612|2016-03-23|2016-03-26 00:00:00|Org Assignment|DPT00042|Supervisory Organization|1|WID00009O83
EMP00010|TXNO386225391|2016-10-31|2016-11-04 00:00:00|Org Assignment|CMP0009|Company|1|WID00010O67
EMP00010|TXNO947216873|2016-10-31|2016-11-04 00:00:00|Org Assignment|CC00086|Cost Center|1|WID00010O67
EMP00010|TXNO663990766|2016-10-31|2016-11-06 00:00:00|Org Assignment|DPT00091|Supervisory Organization|1|WID00010O83
EMP00011|TXNO949396004|2020-02-16|2020-02-20 00:00:00|Org Assignment|CMP0010|Company|1|WID00011O67
EMP00011|TXNO186303032|2020-02-16|2020-02-20 00:00:00|Org Assignment|CC00090|Cost Center|1|WID00011O67
EMP00011|TXNO775728454|2020-02-16|2020-02-23 00:00:00|Org Assignment|DPT00095|Supervisory Organization|1|WID00011O83
EMP00012|TXNO897723678|2024-11-23|2024-11-24 00:00:00|Org Assignment|CMP0019|Company|1|WID00012O67
EMP00012|TXNO507414224|2024-11-23|2024-11-23 00:00:00|Org Assignment|CC00092|Cost Center|1|WID00012O67
EMP00012|TXNO335597719|2024-11-23|2024-11-24 00:00:00|Org Assignment|DPT00052|Supervisory Organization|1|WID00012O83
EMP00013|TXNO674532750|2020-07-07|2020-07-14 00:00:00|Org Assignment|CMP0005|Company|1|WID00013O67
EMP00013|TXNO402391702|2020-07-07|2020-07-13 00:00:00|Org Assignment|CC00085|Cost Center|1|WID00013O67
EMP00013|TXNO922603580|2020-07-07|2020-07-10 00:00:00|Org Assignment|DPT00034|Supervisory Organization|1|WID00013O83
EMP00014|TXNO477523741|2018-07-30|2018-08-03 00:00:00|Org Assignment|CMP0011|Company|1|WID00014O67
EMP00014|TXNO784480602|2018-07-30|2018-08-04 00:00:00|Org Assignment|CC00019|Cost Center|1|WID00014O67
EMP00014|TXNO935670600|2018-07-30|2018-08-02 00:00:00|Org Assignment|DPT00029|Supervisory Organization|1|WID00014O83
EMP00015|TXNO111268599|2025-11-12|2025-11-19 00:00:00|Org Assignment|CMP0014|Company|1|WID00015O67
EMP00015|TXNO816407697|2025-11-12|2025-11-12 00:00:00|Org Assignment|CC00028|Cost Center|1|WID00015O67
EMP00015|TXNO826265289|2025-11-12|2025-11-12 00:00:00|Org Assignment|DPT00118|Supervisory Organization|1|WID00015O83
EMP00016|TXNO756631189|2020-03-17|2020-03-20 00:00:00|Org Assignment|CMP0020|Company|1|WID00016O67
EMP00016|TXNO700552020|2020-03-17|2020-03-19 00:00:00|Org Assignment|CC00051|Cost Center|1|WID00016O67
EMP00016|TXNO614190471|2020-03-17|2020-03-20 00:00:00|Org Assignment|DPT00088|Supervisory Organization|1|WID00016O83
EMP00017|TXNO976960977|2024-10-02|2024-10-03 00:00:00|Org Assignment|CMP0020|Company|1|WID00017O67
EMP00017|TXNO940916250|2024-10-02|2024-10-05 00:00:00|Org Assignment|CC00082|Cost Center|1|WID00017O67
EMP00017|TXNO269867370|2024-10-02|2024-10-03 00:00:00|Org Assignment|DPT00133|Supervisory Organization|1|WID00017O83
EMP00018|TXNO874415972|2024-05-11|2024-05-16 00:00:00|Org Assignment|CMP0007|Company|1|WID00018O67
EMP00018|TXNO353650217|2024-05-11|2024-05-15 00:00:00|Org Assignment|CC00080|Cost Center|1|WID00018O67
EMP00018|TXNO445577494|2024-05-11|2024-05-11 00:00:00|Org Assignment|DPT00087|Supervisory Organization|1|WID00018O83
EMP00019|TXNO520055331|2020-06-07|2020-06-08 00:00:00|Org Assignment|CMP0017|Company|1|WID00019O67
