Transaction_ID,Employee_ID,Worker_ID,Effective_Date,Transaction_Type,Transaction_Status,Reason_Code,Prior_Job_Profile,New_Job_Profile,Prior_Job_Level,New_Job_Level,Prior_Business_Unit,New_Business_Unit,Prior_Division,New_Division,Prior_Department,New_Department,Prior_Manager_ID,New_Manager_ID,Prior_Location,New_Location,Prior_Worker_Type,New_Worker_Type,Initiated_By,Initiated_Date,Completed_Date,Comments
JM2356968,EMP100073,WD75866125,2025-12-27,Promotion,Completed,Expanded Role,Coordinator,Specialist II,1.0,2.0,Retail Banking,Retail Banking,Digital Banking,Digital Banking,Mobile Banking,Mobile Banking,EMP603060,EMP603060,"Los Angeles, CA","Los Angeles, CA",Regular,Regular,Manager,2025-11-27,2025-12-27,Promotion from Level 1 to Level 2
JM8317650,EMP100238,WD57432687,2025-04-25,Lateral Move,Completed,Business Need,Senior Specialist,Senior Associate,3.0,3.0,Wealth Management,Retail Banking,Trust Services,Digital Banking,Charitable Services,Digital Onboarding,EMP836956,EMP836956,"New York, NY","New York, NY",Regular,Regular,HR,2025-03-16,2025-04-25,Lateral move to Retail Banking
JM3160137,EMP100477,WD32878349,2025-07-10,Promotion,Completed,Retention,Analyst II,Lead Representative,2.0,3.0,Retail Banking,Retail Banking,Consumer Lending,Consumer Lending,Collections,Collections,EMP389080,EMP389080,"Chicago, IL","Chicago, IL",Regular,Regular,Manager,2025-05-25,2025-07-10,Promotion from Level 2 to Level 3
JM3541073,EMP100477,WD32878349,2025-07-23,Hire,Completed,Campus Hire,,Analyst II,,2.0,,Retail Banking,,Consumer Lending,,Collections,,EMP389080,,"Chicago, IL",,Regular,Recruiter,2025-06-29,2025-07-23,New hire - Executive Recruitment
JM5529986,EMP100493,WD48339920,2025-09-21,Promotion,Completed,Retention,Analyst I,Specialist II,1.0,2.0,Retail Banking,Retail Banking,Digital Banking,Digital Banking,UX Design,UX Design,EMP849216,EMP849216,"Atlanta, GA","Atlanta, GA",Contractor,Contractor,Manager,2025-08-07,2025-09-21,Promotion from Level 1 to Level 2
JM7939475,EMP100857,WD18948703,2025-07-18,Promotion,Completed,Market Adjustment,Specialist II,Senior Associate,2.0,3.0,Investment Banking,Investment Banking,Mergers & Acquisitions,Mergers & Acquisitions,Integration,Integration,EMP914932,EMP914932,"New York, NY","New York, NY",Regular,Regular,Manager,2025-06-15,2025-07-18,Promotion from Level 2 to Level 3
JM5330131,EMP100857,WD18948703,2025-08-24,Hire,Completed,New Position,,Specialist II,,2.0,,Investment Banking,,Mergers & Acquisitions,,Integration,,EMP914932,,"New York, NY",,Regular,Recruiter,2025-08-07,2025-08-24,New hire - Expansion
JM5130402,EMP100933,WD76712305,2025-04-16,Lateral Move,Completed,Project Assignment,Program Manager,Associate Director,8.0,8.0,Wealth Management,Commercial Banking,Private Banking,Trade Finance,Client Onboarding,Export Finance,EMP145230,EMP145230,"New York, NY","New York, NY",Regular,Regular,HR,2025-03-18,2025-04-16,Lateral move to Commercial Banking
JM8994945,EMP100955,WD45109987,2025-10-10,Termination,Completed,Voluntary - New Opportunity,Expert,,5.0,,Risk & Compliance,,Regulatory Compliance,,Consumer Compliance,,EMP460788,,"Dallas, TX",,Regular,,Employee,2025-09-05,2025-10-10,Voluntary - New Opportunity
JM6433083,EMP101052,WD28002311,2025-07-08,Promotion,Completed,Market Adjustment,Analyst II,Senior Associate,2.0,3.0,Wealth Management,Wealth Management,Trust Services,Trust Services,Trust Administration,Trust Administration,EMP893826,EMP893826,"Boston, MA","Boston, MA",Regular,Regular,Manager,2025-05-27,2025-07-08,Promotion from Level 2 to Level 3
